query_style,mode,n_queries,recall@k,precision@5,mrr,ndcg@k
keyword,vector,136,0.22893323996265175,0.21470588235294116,0.6711017740429505,0.2824384191444751
keyword,bm25,136,0.25676937441643327,0.2529411764705882,0.908158263305322,0.3498596007641299
keyword,hybrid,136,0.24818218954248367,0.25441176470588234,0.7741100606909431,0.32554525522971567
keyword,hybrid_kg,136,0.26193685807656397,0.25441176470588234,0.8077497665732959,0.3386992028801248
semantic,vector,136,0.07806080765639589,0.04411764705882354,0.11142623716153127,0.06518663840959968
semantic,bm25,136,0.04129901960784314,0.026470588235294117,0.06079306722689076,0.03452807954247669
semantic,hybrid,136,0.087765522875817,0.06029411764705883,0.13269724556489262,0.07122415619462387
semantic,hybrid_kg,136,0.0823733660130719,0.06323529411764707,0.13835784313725494,0.07380728758841307
macro_average,bm25,272,0.14903419701213821,0.13970588235294118,0.4844756652661064,0.19219384015330332
macro_average,hybrid,272,0.16797385620915034,0.15735294117647058,0.45340365312791786,0.19838470571216976
macro_average,hybrid_kg,272,0.17215511204481793,0.1588235294117647,0.47305380485527543,0.2062532452342689
macro_average,vector,272,0.15349702380952382,0.12941176470588234,0.39126400560224084,0.1738125287770374
